Galaxy,D_Mpc,Rad_kpc,Vobs_kms,eVobs_kms,Vgas_kms,Vdisk_kms,Vbul_kms,SBdisk,SBbul,Vbar_kms,M_dyn_Msun,M_visible_Msun,M_F_residual_Msun,M_F_residual_clamped_Msun,R_g_kms2_per_kpc,mass_discrepancy_D,V_baryon_only_kms,V_OFR_direct_residual_kms,V_pISO_kms,V_NFW_kms,V_Burkert_kms,V_MOND_like_kms,V_OFR_power_law_kms,V_OFR_RAR_kms,V_OFR_fleet_kms
NGC3198,13.8,3.85,113.0,7.32,0.36,108.53,0.0,196.07,0.0,76.74314334192991,11430290333.906082,5272050262.037571,6158240071.868511,6158240071.868511,1786.8805064935066,2.1680920639570007,76.74314334192991,113.0,112.06791972672563,110.75070640034696,107.08468358000354,107.06109133987519,106.69913369675618,106.4682354972606,93.80278219182111
NGC3198,13.8,4.17,117.0,5.21,1.52,115.51,0.0,179.96,0.0,81.69204643048184,13272337714.576683,6470461408.515873,6801876306.06081,6801876306.06081,1682.3524100719421,2.051219669915465,81.69204643048184,117.0,117.98442582770778,116.01802523539725,113.57717329182427,113.13111355795517,111.4721743251354,112.4743235589555,98.74103536390867
NGC3198,13.8,4.5,119.0,5.67,3.07,120.51,0.0,164.19,0.0,85.26872199112638,14816515574.610956,7607319677.696116,7209195896.91484,7209195896.91484,1531.1655666666663,1.9476656959811305,85.26872199112638,119.0,122.7915059308806,120.27139951618237,118.98169085513933,117.90228950307056,115.23811727125997,117.21102373119214,102.52931074172054
NGC3198,13.8,4.82,127.0,5.39,4.63,125.42,0.0,150.99,0.0,88.80610958712244,18075658407.174297,8838373967.834715,9237284439.339582,9237284439.339582,1710.057033195021,2.0451339208950214,88.80610958712244,126.99999999999999,127.29470896805493,124.34729893911765,124.092808685476,122.54431683669249,118.89853246498005,121.81647951880974,106.24071530526689
NGC3198,13.8,5.15,132.0,4.34,6.02,129.4,0.0,138.08,0.0,91.69743944080446,20863863693.962444,10068419255.459892,10795444438.502552,10795444438.502552,1750.597980582524,2.0722084733061155,91.69743944080446,132.0,131.22416456954338,127.91908585980158,128.64711898671698,126.57779405047654,122.06760921961099,125.82764987225663,109.40669423264916
NGC3198,13.8,5.46,134.0,2.36,7.16,133.15,0.0,126.0,0.0,94.42312666926468,22795120102.48994,11318504363.262661,11476615739.22728,11476615739.22728,1655.7276831501829,2.0139692817080856,94.42312666926468,134.0,134.7691116558139,131.20338616048093,132.7787294767011,130.3375410440853,125.01577006518792,129.56501154944667,112.37188343619044
NGC3198,13.8,5.78,137.0,0.89,8.31,136.45,0.0,113.63,0.0,96.84191938411794,25223689870.283268,12603589817.736246,12620100052.547022,12620100052.547022,1624.6786591695502,2.001309962879587,96.84191938411794,137.0,138.01430839378835,134.23734497674212,136.6151649249513,133.81359075531495,127.72739560910713,133.02562371275909,115.08090604164336
NGC3198,13.8,6.1,140.0,2.84,9.46,139.41,0.0,101.19,0.0,99.03062985763546,27798768167.666843,13909405327.01219,13889362840.654654,13889362840.654654,1605.3990737704917,1.9985590695010795,99.03062985763546,140.0,140.97363986489412,137.03750331027518,140.14716854209252,137.04103746063936,130.23250045571365,136.24166707486302,117.57913631601998
NGC3198,13.8,6.43,142.0,0.88,10.61,141.85,0.0,86.52,0.0,100.8626955320945,30145834253.6812,15209388696.926928,14936445556.75427,14936445556.75427,1553.7661975116644,1.9820542991167158,100.8626955320945,142.0,143.61086826333442,139.5524619910814,143.35049682937964,139.93901611615246,132.46124905742874,139.13619136427914,119.77922163625057
NGC3198,13.8,6.74,144.0,1.23,11.77,142.32,0.0,70.23,0.0,101.32139014048316,32495597443.331768,16087991246.968664,16407606196.363104,16407606196.363104,1553.408887240356,2.0198666784738992,101.32139014048316,144.0,145.10808324634857,140.9487292925442,145.35630307343007,141.44911499804545,133.56780227836205,140.66941356046058,120.76153500413746
NGC3198,13.8,7.06,146.0,1.57,12.87,140.94,0.0,57.67,0.0,100.48720664840873,34990492709.68237,16575471614.611792,18415021095.07058,18415021095.07058,1588.9973512747877,2.1109802196419656,100.48720664840873,146.0,145.66495240889503,141.40896804210922,146.42022765883414,141.7477984798392,133.70130722858735,141.0177475673695,120.6655949417906
NGC3198,13.8,8.04,147.0,3.0,16.39,135.68,0.0,40.74,0.0,97.33017671822034,40395255887.70749,17708864619.813023,22686391267.894466,22686391267.894466,1509.4324253731343,2.2810754249322396,97.33017671822034,147.0,146.6039577137895,142.2142482455111,148.7802863206223,141.88349593055287,133.6151952036736,141.29978488616615,119.91359466741952
NGC3198,13.8,9.04,148.0,3.0,20.03,130.79,0.0,31.83,0.0,94.62670315508197,46039596271.48673,18820687963.244987,27218908308.241745,27218908308.241745,1432.4985674778763,2.4462228140330304,94.62670315508197,148.0,147.4625362258723,143.14500993531956,150.8350378400526,142.22235082387627,133.8519351831247,141.75528136251617,119.65185851223985
NGC3198,13.8,10.04,152.0,2.0,23.68,128.1,0.0,26.64,0.0,93.62450213485782,53933739603.94428,20462203555.99163,33471536047.952652,33471536047.952652,1428.1327290836662,2.6357737795131895,93.62450213485782,152.0,149.03409365268158,144.94662930806933,153.3084877079027,143.9669960032379,135.21471250786794,143.57306706145,120.80056521462285
NGC3198,13.8,11.04,155.0,2.0,27.08,126.67,0.0,21.02,0.0,93.57334476227726,61669739659.74643,22475689606.153122,39194050053.59331,39194050053.59331,1383.064234601449,2.743841935015121,93.57334476227726,155.0,150.87372506604552,147.10300946640675,155.77626321235755,146.45977398671414,137.1335775271577,146.11569088906776,122.70307915467335
NGC3198,13.8,12.05,156.0,2.0,30.11,124.98,0.0,15.42,0.0,93.36279933678082,68182965930.4659,24421617335.633633,43761348594.83226,43761348594.83226,1296.2147468879666,2.791910338836568,93.36279933678082,156.0,152.36123770341774,148.9422882234516,157.672339032678,148.6707065969885,138.86410550797157,148.37309952818296,124.50024741830082
NGC3198,13.8,14.05,157.0,2.0,34.48,118.12,0.0,6.42,0.0,90.36059760758558,80522133687.98697,26673140865.537766,53848992822.4492,53848992822.4492,1173.2357580071173,3.018847090183639,90.36059760758558,157.0,153.1636565811748,150.43248878256182,158.79500582124712,150.05608095704872,140.36950275231524,149.8668643348928,126.18330710298397
NGC3198,13.8,16.07,153.0,2.0,36.43,108.22,0.0,2.95,0.0,84.75216280426123,87465822349.22377,26838429689.763336,60627392659.460434,60627392659.460434,1009.7119415059115,3.258976898435486,84.75216280426123,153.0,152.01397793420077,149.92154434249207,157.47286522554205,148.2491704118768,140.15979441809506,148.17256069062893,126.29824594557208
NGC3198,13.8,18.13,153.0,2.0,37.76,101.1,0.0,2.39,0.0,80.84814530958641,98677993726.90897,27553550699.270615,71124443027.63835,71124443027.63835,930.6440926640927,3.581316789400979,80.84814530958641,153.0,151.5847247746068,150.0815296759414,156.4340657251506,147.74655508462723,141.03203268189026,147.74517934146573,127.97465345119559
NGC3198,13.8,20.05,154.0,2.0,39.83,96.4,0.0,1.44,0.0,78.94877389801567,110559346742.89862,29056600450.83483,81502746292.06378,81502746292.06378,871.9746184538653,3.804964965876526,78.94877389801567,154.0,151.88849791318566,150.85032295506832,155.897846552307,148.78194957284097,142.75655924181206,148.82567922251053,130.81059292189832
NGC3198,13.8,22.12,153.0,2.0,40.92,91.56,0.0,0.72,0.0,76.59022914184288,120394772269.12445,30169735703.3744,90225036565.75005,90225036565.75005,793.0803254972875,3.990580940212169,76.59022914184288,153.0,151.85580056632736,151.21238631102952,154.79190744274584,149.2490235415448,144.33267149218432,149.3358112417777,133.78806469775031
NGC3198,13.8,24.03,150.0,2.0,41.77,87.03,0.0,0.28,0.0,74.3763628446565,125711767974.68443,30907458119.44449,94804309855.23994,94804309855.23994,706.1238722430296,4.0673602950090775,74.3763628446565,150.0,151.67534998896053,151.3046303241103,153.5159851330388,149.37702997462702,145.68833598446176,149.49775024788258,136.61536854831988
NGC3198,13.8,26.1,149.0,2.0,43.71,82.67,0.0,0.16,0.0,72.99129091884866,134726395111.73218,32331231101.09256,102395164010.63962,102395164010.63962,646.4854961685824,4.167066657328103,72.99129091884866,149.0,151.86035035472872,151.69484304050886,152.43867087190517,150.4457428568835,147.58706811662398,150.59335520562664,140.30770012387123
NGC3198,13.8,28.16,148.0,2.0,45.41,79.06,0.0,0.08,0.0,72.02298174888347,143415379535.95868,33963660430.932064,109451719105.02661,109451719105.02661,593.6324609375,4.222612572269877,72.02298174888347,148.0,152.1344323912285,152.0878901241421,151.4195273611247,151.8021041248675,149.57815480720762,151.97150252943254,144.22776078007115
NGC3198,13.8,30.08,146.0,2.0,45.29,76.07,0.0,0.04,0.0,70.31718531056259,149081306049.18494,34581229791.83475,114500076257.35019,114500076257.35019,544.2650748005319,4.311046973939189,70.31718531056259,146.0,151.93699910776544,151.9334518115762,149.99934194766095,151.95292612037022,150.97294209237262,152.14325308185207,147.5112277669508
NGC3198,13.8,32.14,147.0,2.0,44.56,73.27,0.0,0.02,0.0,68.33622794682188,161480537839.6665,34896954181.09191,126583583658.57458,126583583658.57458,527.042935594275,4.6273533501431166,68.33622794682188,147.0,151.60307827001748,151.58172107797668,148.34548161713647,151.7529916454924,152.3439404965458,151.96341187461948,151.01364072227562
NGC3198,13.8,34.06,148.0,2.0,44.81,70.91,0.0,0.01,0.0,67.2461905984272,173463346129.075,35811265083.20332,137652081045.8717,137652081045.8717,510.33323106283024,4.843820672798157,67.2461905984272,148.0,151.5897338619061,151.49930124539475,147.11368648382484,152.35782767125394,153.90789763839888,152.58273162946438,154.65161348655056
NGC3198,13.8,36.12,148.0,2.0,45.9,68.62,0.0,0.01,0.0,66.79193214752813,183954670058.19696,37465833664.03855,146488836394.15842,146488836394.15842,482.9135603543743,4.909931317897384,66.79193214752813,148.0,151.84436199349372,151.63106413993967,146.08764760062763,153.7930748578558,155.82892677446705,154.03040604990173,158.86702128784708
NGC3198,13.8,38.19,149.0,2.0,46.75,66.59,0.0,0.0,0.0,66.35266799458783,197134139054.29315,39093637728.87599,158040501325.41718,158040501325.41718,466.0466993977481,5.042614361484266,66.35266799458783,149.0,152.06182144056316,151.68099415460156,145.04329993158115,155.16307325337934,157.6938551333767,155.41186228447236,163.0977765028802
NGC3198,13.8,40.1,150.0,2.0,47.48,64.84,0.0,0.0,0.0,66.0035089976283,209781185842.066,40617956274.36985,169163229567.69617,169163229567.69617,452.45727680798,5.164740057944251,66.0035089976283,150.0,152.2519955842633,151.6827653550358,144.0950938514566,156.42359709153246,159.3785497677253,156.68209055150754,167.01229125828934
NGC3198,13.8,42.17,150.0,3.0,48.93,63.1,0.0,0.0,0.0,66.21895423517348,220610289450.37216,42994002962.86136,177616286487.5108,177616286487.5108,429.57197296656386,5.1311874737725045,66.21895423517348,150.0,152.68202836848346,151.87827350238675,143.33667545682528,158.49473915502418,161.38722410718168,158.7621561551378,171.47126024822796
NGC3198,13.8,44.08,149.0,3.0,47.84,61.63,0.0,0.0,0.0,64.71316751635636,227537911744.2588,42920675327.77948,184617236416.4793,184617236416.4793,408.64804786751364,5.301359077101702,64.71316751635636,149.0,152.31932794392176,151.26955476408895,141.854481550046,158.0930060357576,162.49785284764084,158.3704305992975,174.9177714713742
