candidate,discovery_score,standard_rmse,fleet_rmse,novelty_gap,scar_capture,damage_echo,memory_word
Object-065,30.328874952307498,0.44478876426776026,0.12284814281817792,0.32194062144958235,0.5944145941782706,0.26924298537674624,S S S S S M M H H R+ M R- M D D K M R+ R+ R- R- S
Object-070,29.164183461358412,0.4582366017371807,0.12665210255983084,0.3315844991773499,0.5860041158116303,0.2949955661512577,R+ S R+ R- S R+ M K H R+ M R- M D D R- M R+ R+ R- R- S
Object-007,28.426960633283983,0.36929747661231116,0.15528441619033434,0.21401306042197682,0.7512307852644307,0.19899268437464532,S S S S S H K R- R+ R+ M R- R- D D H S R+ M R- S S
Object-016,25.95947519404718,0.3322832071176827,0.10636768752480956,0.22591551959287315,0.7047217193139658,0.2588445214089081,S S S S S R+ H K R+ R+ M M R- D D R- M R+ M R- R- S
Object-053,25.79258281454187,0.40127098190584315,0.2557134519011554,0.14555753000468774,0.8315508971568482,0.12473589632592298,S S R+ S H K K R- R+ R+ R+ R- R- D D H S S S S S S
Object-032,23.4433607491121,0.33917517876479714,0.11358800904473046,0.22558716972006668,0.6969772013411257,0.28833125772051843,R+ S S S S H K R- R+ R+ M M R- D D R- M R+ R+ R- R- R-
Object-060,22.654023999609606,0.27977813675129065,0.10080490446825761,0.17897323228303302,0.8041613039995474,0.2957111990372756,R- S S S S S M H K R+ M R- R- S M R+ D D H M R- S
Object-051,21.85400833238436,0.5735363065907705,0.3612367747880526,0.21229953180271788,0.7629825367713828,0.18828951523853282,R- S M S R+ H H R- R+ R+ R+ R- R- D D H S S M M R- R+
Object-030,21.385707887187433,0.5712864926304531,0.2425030318500515,0.32878346078040155,0.7292181345895563,0.4142778753306546,S S S S R+ M M H H R+ R+ R- R- R+ M R+ D D K M R+ M
Object-029,21.341575058512014,0.273332855525867,0.09851523593584753,0.17481761959001946,0.750095582628172,0.28191224581656693,S S S S S S M H H R+ M R- R- S S R+ D D R+ R- R- S
Object-013,19.477985508872884,0.4201501601709319,0.2369924569640761,0.1831577032068558,0.746352790801077,0.23810789936647608,S S S S R+ H K R- R+ R+ R+ R- R- D D H S S S R+ S S
Object-020,19.414649544575127,0.42579461232848265,0.24339796774350309,0.18239664458497956,0.618221973282653,0.168900439231323,S S S S S H K R- R+ R+ R+ R- R- R+ M D D H S S S S
Object-006,19.06838062674396,0.36818947608914293,0.3110012295045142,0.05718824658462873,0.8637600460772978,0.08173320767392754,S S S S S H H K R+ R+ R+ R- R- D D D S S S S S S
Object-041,18.89425254586603,0.28122748892409305,0.09822685391164518,0.18300063501244787,0.6741989299971832,0.2915405011135961,R- S S S S S H K R+ R+ M M R- D D R- S R+ M M R- S
Object-008,18.35392134984832,0.4443762078831292,0.2054453797531641,0.2389308281299651,0.38199416017454935,0.16643718550689815,R+ S S S R+ H K R- R+ R+ R+ R- R- R+ R- R+ D D H S S R+
Object-056,17.543610462608385,0.5775178012688157,0.3091654941339459,0.2683523071348698,0.15339747220317945,0.050763612025814905,S S M S M M H K R+ R+ R+ R- R- R+ D D R+ S M R- R- S
Object-018,15.907951238530018,0.3796568207323995,0.22338799939833018,0.1562688213340693,0.559337515773642,0.16248752037078557,S S S S S S S H K R+ R+ R- R- R+ D D H R+ S S R- R+
Object-001,15.097551809465163,0.5720746090986792,0.277501037677467,0.29457357142121227,0.44442185523943234,0.2889219771146139,S S M S H K R- M R+ R+ R+ R- R- M M D D H S M R+ S
Object-034,13.802668191391387,0.34763360239654745,0.14348206973103356,0.2041515326655139,0.7003465292973143,0.3865693060222589,R- S M S H K R- R- R+ R+ M R- S S S S D D H R- M S
Object-052,13.67193851191715,0.4244623015397252,0.25469239209157585,0.16976990944814935,0.6141243211057583,0.22617490700951182,R+ S S S S H K R- R+ R+ R+ R- R- R+ D D D R- S S R+ R-
Object-026,12.997940034323022,0.2919052889584068,0.11040363110596706,0.1815016578524397,0.6122160106526855,0.33935257447323003,R- S M S S M H K K R+ M R- S R- S S D D H M R- S
Object-067,12.211776384507367,0.5588117350053606,0.44921855423311025,0.10959318077225039,0.7408029576313271,0.12224148328013507,S S S S H K K R- R+ R+ R+ R- R- D D D S S S S S S
Object-024,11.705401036256237,0.4837044791403181,0.1819128610659415,0.3017916180743766,0.43374976139941257,0.4000093497032083,S S M S M H K R- R+ R+ M M R- D D R- R- R+ R+ R- R- R-
Object-036,9.320130308777232,0.37842641027661855,0.171327107097161,0.20709930317945754,0.5065481167494894,0.33740824114796236,S S S S S R+ H K R+ R+ R+ R- D D H R- R+ R+ M M R- R+
Object-010,7.478368340410292,0.4316241410835358,0.14302382757903398,0.2886003135045018,0.19224871734065807,0.3398975978586651,S S M S S H K R- R+ R+ M S D D K R- M R+ R+ R- R- S
Object-061,7.401718604791256,0.5514008009093907,0.37076356659467813,0.18063723431471257,0.5556807059181569,0.24186187960999317,S S M S R+ K K R- R+ R+ R+ R- R- R+ D D D S S S S S
Object-055,7.0942293915526085,0.38329354015405187,0.18304593533046168,0.2002476048235902,0.4392177580009091,0.3181768169476977,R- S S S S H K R- R+ R+ M R- R- M M R+ D D H S S R-
Object-012,6.926639517290496,0.36015415667300077,0.1498691916945749,0.21028496497842586,0.5136199227577556,0.3969988259106583,S S R+ R- S S S H K R+ R+ R- D D H R- M R+ R+ R- R- M
Object-049,6.619511919508537,0.2706343335591236,0.16311919853284387,0.10751513502627971,0.6573987414726724,0.3125562149623207,R+ S S S S R+ H K R+ R+ R+ R- D D D R- S R+ S S S S
Object-022,6.56404094597174,0.4052941972192504,0.29498071106781903,0.11031348615143138,0.46850537698100736,0.1475653769616516,S S S S S S H K R+ R+ R+ R- R- R+ D D H S S S S R+
Object-005,5.499084386605357,0.4747685665389412,0.2678952752811395,0.20687329125780168,0.593177406490274,0.38354764797940744,S S M S M M M K K R+ R+ R- R- R+ R- D D D S R- S R+
Object-043,4.799232046797682,0.548455403938687,0.31878789099526217,0.2296675129434248,0.3497147400512044,0.27385283316161885,S S M S S K K R- R+ R+ R+ R- R- R+ R- D D H M R- S S
Object-038,3.190542463311094,0.4592594326845197,0.16865280714778683,0.2906066255367329,0.276882396313362,0.4383282134708938,S S M S M M H K R+ R+ M R- R- S S D D K R+ R- R- R-
Object-037,0.8002485710293481,0.48403028986273505,0.23738386069825504,0.24664642916448,0.14886444628889428,0.2985789398563403,S S S S S S H K R+ R+ R+ R- R- R+ R- R+ D D S R+ S S
Object-035,-3.1861491197287357,0.6365658937332068,0.296754124193737,0.33981176953946984,0.28113276035370593,0.5325227245573885,S S S S H K R- R+ R+ R+ R+ R- R- R+ M D D H R- R+ R+ S
Object-066,-3.3661499658874448,0.36032519533483665,0.2012114111512481,0.15911378418358854,0.16094510090971537,0.2570265896746722,R- S S S S M M K K R+ R+ R- R- D D S S S S S S S
Object-063,-3.531773612736635,0.4931846104823634,0.2234235484344588,0.2697610620479046,0.1276663910669621,0.39467710177183246,S S S S R+ H K R- R+ R+ R+ R- M M M D D H M R- S R+
Object-014,-3.718309174285631,0.3551011792695281,0.20844693134196296,0.14665424792756515,0.5996306582971154,0.4707418974761328,S S S S S R+ M H K R+ R+ R- R- R+ M D D H S S S S
Object-003,-4.777113198608454,0.23920782755292747,0.20246667690506698,0.03674115064786049,0.4130130628029268,0.22671557736300083,S S S S S S S K K R+ R+ R- R- D D S S S S S S S
Object-046,-4.852800069350206,0.24036950000301838,0.17058449638799644,0.06978500361502193,0.5080411947611432,0.34536981849215564,S S S S S S H K R+ R+ R+ R- D D H S S S S S S S
Object-002,-8.766830440848512,0.33718014394381934,0.22628712047201685,0.1108930234718025,0.5226396313928668,0.4409169932897689,S S S S S H K R- R+ R+ R+ R- D D H S S R- S S S S
Object-064,-8.791141192211064,0.4356318687763521,0.3004075123726587,0.1352243564036934,0.1883483818264695,0.2617196307519689,R- S S S S S R+ K K R+ R+ R- R- D D H S R- S S S S
Object-059,-10.590062818786475,0.39054222952745554,0.18681684994072045,0.2037253795867351,0.23373963275674992,0.4816681877747589,S S S S S M M K K R+ R+ R- D D H R- S R+ M M R- S
Object-011,-11.251210352023586,0.58004917809746,0.3229449252162669,0.25710425288119315,0.0122325027204786,0.37419849222722273,S S S S R+ M H K R+ R+ R+ R- R- R+ R- R+ D D H R- R- S
Object-045,-12.620106052347428,0.5234049596110986,0.3283940276537553,0.19501093195734326,-2.1681635072212657e-05,0.2937651751181422,S S S S S S H K R+ R+ R+ R- R- R+ R- R+ D D H S S S
Object-000,-13.199901418569128,0.48641125156788756,0.2869967929879807,0.19941445857990686,-0.05552169094469095,0.30263173328246784,S S S S S S H K R+ R+ R+ R- R- R+ R- R+ D D H S S R+
Object-068,-13.355358776739024,0.6559952303510416,0.26085477026369347,0.3951404600873481,0.062467039386436274,0.6788002057927158,S S S S S H K R+ R+ R+ M R- R- M M D D H R- R+ R+ M
Object-071,-19.389567230959827,0.6182249057229544,0.32162736072641657,0.29659754499653784,0.3623549306940669,0.741480420454037,S S S S H K R- R- R+ R+ R+ R- R- R+ M D D D M M R+ S
Object-015,-21.592205211131944,0.47319077213027794,0.2474619366704791,0.22572883545979883,-0.13403521869452217,0.44821632741222767,S S S S S H K R- R+ R+ R+ R- R- M M D D D M S S S
Object-028,-25.845222115015133,0.5036628318415967,0.34329238447617444,0.16037044736542222,0.15085648057762235,0.5078138838441073,R- S S S S H K K R+ R+ R+ R- R- R+ R- R+ D D H S S S
Object-039,-25.867108622971152,0.46477549897191384,0.31188001930194365,0.1528954796699702,0.22685029712841487,0.5550439613017962,R+ S S S S M K K R+ R+ R+ R- D D H S R+ S S S S S
Object-023,-29.40284900761592,0.43202233650834765,0.293479104360826,0.13854323214752162,0.0812307314826034,0.5210168557661937,S S R+ R- S H K R- R+ R+ R+ R- R- R+ R- R+ D D S S S S
Object-027,-37.95686153244572,0.5398317606036713,0.4365990991795145,0.10323266142415682,0.3396646154390326,0.6486337668629228,R- S M S K K H R- R+ R+ R+ R- D D H S S S S S S S
Object-009,-65.1757894840413,0.53735514535407,0.3823196223187915,0.1550355230352785,-0.6170799719820286,0.6637827582200918,R- S S S S H H K R+ R+ R+ R- R- R+ R- D D H S S R+ R-
